timestamp,load_value
2020-01-01 00:00:00,244104.7682
2020-01-01 00:15:00,232760.6402
2020-01-01 00:30:00,232041.6891
2020-01-01 00:45:00,227353.3317
2020-01-01 01:00:00,232994.4269
2020-01-01 01:15:00,224198.7554
2020-01-01 01:30:00,223425.3222
2020-01-01 01:45:00,222019.7156
2020-01-01 02:00:00,227653.5805
2020-01-01 02:15:00,220445.4568
2020-01-01 02:30:00,220304.6666
2020-01-01 02:45:00,220105.75
2020-01-01 03:00:00,223817.3949
2020-01-01 03:15:00,229409.1453
2020-01-01 03:30:00,215869.7908
2020-01-01 03:45:00,214413.2834
2020-01-01 04:00:00,216375.5923
2020-01-01 04:15:00,211041.1307
2020-01-01 04:30:00,211953.174
2020-01-01 04:45:00,217185.0912
2020-01-01 05:00:00,218397.4217
2020-01-01 05:15:00,236100.4538
2020-01-01 05:30:00,213926.2072
2020-01-01 05:45:00,236939.7574
2020-01-01 06:00:00,220035.7494
2020-01-01 06:15:00,212494.5559
2020-01-01 06:30:00,209590.7333
2020-01-01 06:45:00,208951.8496
2020-01-01 07:00:00,213585.6241
2020-01-01 07:15:00,207248.372
2020-01-01 07:30:00,204288.9058
2020-01-01 07:45:00,207451.6495
2020-01-01 08:00:00,208123.265
2020-01-01 08:15:00,203582.5753
2020-01-01 08:30:00,204913.6863
2020-01-01 08:45:00,207107.7307
2020-01-01 09:00:00,216124.242
2020-01-01 09:15:00,209971.5599
2020-01-01 09:30:00,212394.8321
2020-01-01 09:45:00,214808.996
2020-01-01 10:00:00,226853.6381
2020-01-01 10:15:00,240402.9314
2020-01-01 10:30:00,219891.6322
2020-01-01 10:45:00,217928.6229
2020-01-01 11:00:00,230848.4951
2020-01-01 11:15:00,225317.5089
2020-01-01 11:30:00,225364.5166
2020-01-01 11:45:00,225283.5088
2020-01-01 12:00:00,231409.127
2020-01-01 12:15:00,233987.7328
2020-01-01 12:30:00,221167.8036
2020-01-01 12:45:00,218569.5081
2020-01-01 13:00:00,228148.1525
2020-01-01 13:15:00,216640.3519
2020-01-01 13:30:00,215288.5112
2020-01-01 13:45:00,214908.0029
2020-01-01 14:00:00,223643.7036
2020-01-01 14:15:00,212583.1638
2020-01-01 14:30:00,211953.8913
2020-01-01 14:45:00,210481.116
2020-01-01 15:00:00,219137.6127
2020-01-01 15:15:00,211044.1862
2020-01-01 15:30:00,207800.2147
2020-01-01 15:45:00,209138.1555
2020-01-01 16:00:00,219207.8008
2020-01-01 16:15:00,214925.0644
2020-01-01 16:30:00,219288.1671
2020-01-01 16:45:00,220119.1476
2020-01-01 17:00:00,230193.681
2020-01-01 17:15:00,226246.9938
2020-01-01 17:30:00,232391.5375
2020-01-01 17:45:00,234089.2623
2020-01-01 18:00:00,246499.9221
2020-01-01 18:15:00,241261.3888
2020-01-01 18:30:00,251381.229
2020-01-01 18:45:00,239721.6556
2020-01-01 19:00:00,246071.2832
2020-01-01 19:15:00,237763.0838
2020-01-01 19:30:00,235683.7078
2020-01-01 19:45:00,258122.9648
2020-01-01 20:00:00,242995.5973
2020-01-01 20:15:00,235280.065
2020-01-01 20:30:00,234696.8229
2020-01-01 20:45:00,232179.4679
2020-01-01 21:00:00,242100.9952
2020-01-01 21:15:00,234786.5234
2020-01-01 21:30:00,234849.8695
2020-01-01 21:45:00,232505.9459
2020-01-01 22:00:00,238073.0286
2020-01-01 22:15:00,228127.3587
2020-01-01 22:30:00,224983.6451
2020-01-01 22:45:00,222452.9423
2020-01-01 23:00:00,224859.9648
2020-01-01 23:15:00,213882.3933
2020-01-01 23:30:00,210072.2317
2020-01-01 23:45:00,206252.6378
2020-01-02 00:00:00,207501.199
2020-01-02 00:15:00,200237.8192
2020-01-02 00:30:00,199081.7267
2020-01-02 00:45:00,198762.4665
2020-01-02 01:00:00,213962.4627
2020-01-02 01:15:00,192520.5988
2020-01-02 01:30:00,188883.3155
2020-01-02 01:45:00,188264.8548
2020-01-02 02:00:00,194332.1024
2020-01-02 02:15:00,187394.6824
2020-01-02 02:30:00,187147.0267
